,Plate_num,Fruit_num,Sepal_num,variety,present_pgm,severity_pgm,present_average,severity_average,Date,0/123 labels,01/23 labels,0.5/123 labels
84,2,1,2,Provine,1,2,1,2,20220512,1,1,1
85,2,1,3,Provine,1,3,1,3,20220512,1,1,1
86,2,1,4,Provine,1,2,1,2,20220512,1,1,1
87,2,1,5,Provine,1,1,1,1,20220512,1,0,1
88,2,2,1,Provine,1,1,1,"1,5",20220512,1,0,1
89,2,2,2,Provine,1,1,1,1,20220512,1,0,1
90,2,2,3,Provine,1,2,1,2,20220512,1,1,1
91,2,2,4,Provine,1,1,1,1,20220512,1,0,1
92,2,2,5,Provine,1,2,1,2,20220512,1,1,1
93,2,3,1,Provine,1,2,1,"1,5",20220512,1,1,1
94,2,3,2,Provine,1,2,1,"1,5",20220512,1,1,1
95,2,3,3,Provine,1,1,1,1,20220512,1,0,1
96,2,3,4,Provine,1,1,1,1,20220512,1,0,1
97,2,3,5,Provine,1,2,1,2,20220512,1,1,1
98,2,4,1,Provine,1,1,1,1,20220512,1,0,1
99,2,4,2,Provine,1,2,1,2,20220512,1,1,1
100,2,4,3,Provine,1,2,1,2,20220512,1,1,1
101,2,4,4,Provine,1,2,1,2,20220512,1,1,1
102,2,4,5,Provine,1,2,1,2,20220512,1,1,1
103,2,5,1,Provine,1,2,1,"1,5",20220512,1,1,1
104,2,5,2,Provine,1,1,"0,5","0,5",20220512,1,0,0
105,2,5,3,Provine,0,0,0,0,20220512,0,0,0
106,2,5,4,Provine,1,2,1,"1,5",20220512,1,1,1
107,2,5,5,Provine,1,2,1,"1,5",20220512,1,1,1
108,2,6,1,Provine,1,1,1,1,20220512,1,0,1
109,2,6,2,Provine,0,0,0,0,20220512,0,0,0
110,2,6,3,Provine,1,2,1,"1,5",20220512,1,1,1
111,2,6,4,Provine,1,1,"0,5","0,5",20220512,1,0,0
112,2,6,5,Provine,0,0,0,0,20220512,0,0,0
113,2,7,1,Provine,1,2,1,2,20220512,1,1,1
114,2,7,2,Provine,1,2,1,2,20220512,1,1,1
115,2,7,3,Provine,1,3,1,"2,5",20220512,1,1,1
116,2,7,4,Provine,1,3,1,"2,5",20220512,1,1,1
117,2,7,5,Provine,1,2,1,2,20220512,1,1,1
118,2,8,1,Provine,1,2,1,2,20220512,1,1,1
119,2,8,2,Provine,1,1,1,1,20220512,1,0,1
120,2,8,3,Provine,1,2,1,2,20220512,1,1,1
121,2,8,4,Provine,1,3,1,"2,5",20220512,1,1,1
122,2,8,5,Provine,1,3,1,"2,5",20220512,1,1,1
123,2,9,1,Provine,0,0,0,0,20220512,0,0,0
124,2,9,2,Provine,0,0,0,0,20220512,0,0,0
125,2,9,3,Provine,1,1,1,1,20220512,1,0,1
126,2,9,4,Provine,0,0,"0,5","0,5",20220512,0,0,0
127,2,9,5,Provine,0,0,"0,5","0,5",20220512,0,0,0
128,2,10,1,Provine,1,2,1,2,20220512,1,1,1
129,2,10,2,Provine,1,2,1,2,20220512,1,1,1
130,2,10,3,Provine,1,2,1,2,20220512,1,1,1
131,2,10,4,Provine,1,2,1,2,20220512,1,1,1
132,2,10,5,Provine,1,3,1,3,20220512,1,1,1
133,2,11,1,Provine,1,3,1,"2,5",20220512,1,1,1
134,2,11,2,Provine,1,2,1,2,20220512,1,1,1
135,2,11,3,Provine,1,2,1,2,20220512,1,1,1
136,2,11,4,Provine,1,2,1,2,20220512,1,1,1
137,2,11,5,Provine,1,2,1,2,20220512,1,1,1
138,2,12,1,Provine,1,2,1,"1,5",20220512,1,1,1
139,2,12,2,Provine,1,2,1,"1,5",20220512,1,1,1
140,2,12,3,Provine,1,2,1,"1,5",20220512,1,1,1
141,2,12,4,Provine,1,2,1,"1,5",20220512,1,1,1
142,2,12,5,Provine,1,2,1,"1,5",20220512,1,1,1
143,2,13,1,Provine,1,1,1,1,20220512,1,0,1
144,2,13,2,Provine,1,1,1,1,20220512,1,0,1
145,2,13,3,Provine,0,0,0,0,20220512,0,0,0
146,2,13,4,Provine,1,1,1,1,20220512,1,0,1
147,2,13,5,Provine,1,1,1,1,20220512,1,0,1
148,2,14,1,Provine,1,1,1,"1,5",20220512,1,0,1
149,2,14,2,Provine,1,2,1,"1,5",20220512,1,1,1
150,2,14,3,Provine,1,1,1,1,20220512,1,0,1
151,2,14,4,Provine,0,0,0,0,20220512,0,0,0
152,2,14,5,Provine,1,1,"0,5","0,5",20220512,1,0,0
153,2,15,1,Provine,1,1,1,1,20220512,1,0,1
154,2,15,2,Provine,1,2,1,2,20220512,1,1,1
155,2,15,3,Provine,1,3,1,3,20220512,1,1,1
156,2,15,4,Provine,1,1,1,1,20220512,1,0,1
157,2,15,5,Provine,0,0,0,0,20220512,0,0,0
158,2,16,1,Provine,1,1,1,1,20220512,1,0,1
159,2,16,2,Provine,1,2,1,2,20220512,1,1,1
160,2,16,3,Provine,1,1,1,1,20220512,1,0,1
161,2,16,4,Provine,1,2,1,2,20220512,1,1,1
162,2,16,5,Provine,1,2,1,2,20220512,1,1,1
163,2,16,6,Provine,1,2,1,2,20220512,1,1,1
